

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    40.5900	     1.7512	  1604.7336	   102.5215	  1707.2551	  2454.9900	  2454.9900	  2439.5900	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    9.8100	    40.5900	     1.7482	  1593.7466	   124.4352	  1718.1818	  2459.7400	  2459.7400	  2443.4800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   19.6300	    40.5900	     1.7457	  1584.2068	   143.8045	  1728.0112	  2463.8900	  2463.8900	  2446.9700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   29.4400	    40.5900	     1.7438	  1576.5817	   160.4544	  1737.0361	  2467.2600	  2467.2600	  2450.1600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   39.2500	    40.5900	     1.7419	  1569.7165	   173.8303	  1743.5469	  2470.2200	  2470.2200	  2452.4500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   49.0600	    40.5900	     1.7405	  1565.1210	   181.5436	  1746.6646	  2472.1400	  2472.1400	  2453.5500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   58.8800	    40.5900	     1.7398	  1561.7726	   190.5365	  1752.3091	  2473.7000	  2473.7000	  2455.5300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   68.6900	    40.5900	     1.7391	  1559.3104	   195.5437	  1754.8541	  2474.7700	  2474.7700	  2456.4200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   78.5000	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   88.3100	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   98.1300	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  107.9400	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  117.7500	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  127.5600	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  137.3800	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  147.1900	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  157.0000	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  166.8100	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  176.6300	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  186.4400	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  196.2500	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  206.0600	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  215.8800	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  225.6900	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  235.5000	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  245.3200	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  255.1300	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  264.9400	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  274.7500	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  284.5700	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  294.3800	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  304.1900	    40.5900	     1.7392	  1558.9969	   197.8604	  1756.8573	  2474.9800	  2474.9800	  2457.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  308.7500	    40.5900	     1.7389	  1559.0415	   194.4576	  1753.4992	  2474.8100	  2474.8100	  2455.9500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  313.6600	    40.3200	     1.7617	  1570.7390	   195.7556	  1766.4947	  2479.7700	  2479.7700	  2460.4800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  318.5700	    39.5100	     1.8344	  1612.4887	   186.5086	  1798.9973	  2492.3600	  2492.3600	  2471.7200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  323.4700	    38.1200	     1.9703	  1683.1994	   184.5539	  1867.7533	  2517.0800	  2517.0800	  2495.0100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  328.3800	    36.0900	     2.1950	  1794.4595	   174.6436	  1969.1031	  2553.8600	  2553.8600	  2528.1900	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  333.2900	    33.3900	     2.5530	  1957.8169	   152.4453	  2110.2622	  2604.5100	  2604.5100	  2572.3300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  338.1900	    30.5600	     3.0198	  2144.0093	   132.9109	  2276.9201	  2661.3800	  2661.3800	  2621.6800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
