

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    1.4500	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    2.8900	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    4.3400	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    5.7800	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    7.2300	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
    8.6800	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   10.1200	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   11.5700	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   13.0100	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   14.4600	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   15.9100	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   17.3500	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   18.8000	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   20.2400	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   21.6900	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   23.1400	    58.0400	     1.0616	  1136.0331	     0.0000	  1136.0331	  2210.1600	  2210.1600	  2203.3800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   26.5000	    58.0000	     1.0629	  1136.9092	     0.0000	  1136.9092	  2210.6100	  2210.6100	  2203.8100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   29.8600	    57.8800	     1.0667	  1139.5455	     0.0000	  1139.5455	  2211.9600	  2211.9600	  2205.0800	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   33.2200	    57.6800	     1.0731	  1143.9660	     0.0000	  1143.9660	  2214.2200	  2214.2200	  2207.2200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   36.5900	    57.4000	     1.0822	  1150.2116	     0.0000	  1150.2116	  2217.4100	  2217.4100	  2210.2300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   39.9500	    57.0400	     1.0941	  1158.3402	     0.0000	  1158.3402	  2221.5400	  2221.5400	  2214.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   43.3100	    56.5900	     1.1090	  1168.4288	     0.0000	  1168.4288	  2226.6300	  2226.6300	  2218.9300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   46.6700	    56.0600	     1.1271	  1180.5743	     0.0000	  1180.5743	  2232.7400	  2232.7400	  2224.6700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   50.0400	    55.4500	     1.1486	  1194.8981	     0.0000	  1194.8981	  2239.8800	  2239.8800	  2231.3900	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   53.4000	    54.7500	     1.1739	  1211.5455	     0.0000	  1211.5455	  2248.1100	  2248.1100	  2239.1200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   56.7600	    53.9700	     1.2034	  1230.6929	     0.0000	  1230.6929	  2257.4900	  2257.4900	  2247.9100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   60.1200	    53.0900	     1.2376	  1252.5509	     0.0000	  1252.5509	  2268.0700	  2268.0700	  2257.8300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   63.4900	    52.1300	     1.2771	  1277.3688	     0.0000	  1277.3688	  2279.9500	  2279.9500	  2268.9300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   66.8500	    51.0800	     1.3227	  1305.4462	     0.0000	  1305.4462	  2293.2100	  2293.2100	  2281.3000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   70.2100	    49.9300	     1.3754	  1337.1365	     0.0000	  1337.1365	  2307.9500	  2307.9500	  2295.0200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   73.5700	    48.6900	     1.4363	  1372.8636	     0.0000	  1372.8636	  2324.3000	  2324.3000	  2310.2000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   76.9400	    47.3500	     1.5071	  1413.1362	     0.0000	  1413.1362	  2342.4100	  2342.4100	  2326.9600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   80.3000	    45.9100	     1.5895	  1458.5601	     0.0000	  1458.5601	  2362.4400	  2362.4400	  2345.4400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   83.6600	    44.3600	     1.6862	  1509.8721	     0.0000	  1509.8721	  2384.5800	  2384.5800	  2365.8000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   87.0200	    42.7000	     1.8005	  1567.9666	     0.0000	  1567.9666	  2409.0800	  2409.0800	  2388.2300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   90.3900	    40.9300	     1.9367	  1633.9358	     0.0000	  1633.9358	  2436.2000	  2436.2000	  2412.9700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   93.7500	    39.0400	     2.1009	  1709.0987	     0.0000	  1709.0987	  2466.2600	  2466.2600	  2440.2500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   97.1100	    37.1000	     2.2937	  1791.9094	     0.0000	  1791.9094	  2498.4200	  2498.4200	  2469.2900	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
