#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    35.5300	     2.1075	  1657.4732	   109.9878	  1767.4610	  2483.8800	  2483.8800	  2460.8200	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   13.4100	    35.5300	     2.1028	  1638.5096	   146.1574	  1784.6671	  2491.1300	  2491.1300	  2466.7900	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   26.8200	    35.5300	     2.0992	  1624.0674	   174.6877	  1798.7551	  2496.7000	  2496.7000	  2471.6400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   40.2200	    35.5300	     2.0964	  1613.7909	   192.3207	  1806.1116	  2500.5400	  2500.5400	  2474.1600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   53.6300	    35.5300	     2.0953	  1607.4719	   209.0958	  1816.5677	  2503.1700	  2503.1700	  2477.7400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   67.0400	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   80.4500	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
   93.8500	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  107.2600	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  120.6700	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  134.0800	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  147.4800	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  160.8900	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  174.3000	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  187.7100	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  201.1100	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  214.5200	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  227.9300	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  241.3400	    35.5300	     2.0949	  1606.2222	   210.7300	  1816.9522	  2503.6200	  2503.6200	  2477.8700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  244.8900	    35.5300	     2.0945	  1605.9792	   208.5299	  1814.5092	  2503.5900	  2503.5900	  2477.0400	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  251.6000	    35.0700	     2.1489	  1627.9454	   213.7332	  1841.6785	  2512.7800	  2512.7800	  2486.2600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  258.3000	    33.6600	     2.3298	  1706.9657	   202.1347	  1909.1005	  2537.6800	  2537.6800	  2508.7000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  265.0000	    31.2000	     2.7006	  1853.6644	   183.0052	  2036.6695	  2583.9600	  2583.9600	  2549.6000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  271.7100	    27.6000	     3.4097	  2091.3587	   156.1143	  2247.4729	  2656.9900	  2656.9900	  2613.1600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  278.4100	    23.7300	     4.4736	  2380.1539	   119.0874	  2499.2412	  2738.3000	  2738.3000	  2683.4600	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  285.1100	    20.3700	     5.6512	  2637.5300	    76.3523	  2713.8823	  2803.6300	  2803.6300	  2739.3000	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  291.8200	    18.8400	     5.9681	  2712.8254	    42.6259	  2755.4514	  2815.7900	  2815.7900	  2749.7300	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  294.6400	    18.7000	     5.7757	  2686.6807	    28.4152	  2715.0959	  2805.1700	  2805.1700	  2739.6100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  308.0500	    22.4700	     3.1303	  2077.4219	     0.6776	  2078.0995	  2606.6900	  2606.6900	  2562.4700	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  321.4600	    26.5200	     2.0402	  1667.7451	    -1.5436	  1666.2016	  2452.8900	  2452.8900	  2424.7900	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  334.8700	    30.5000	     1.4352	  1362.4103	    -2.2050	  1360.2052	  2321.0700	  2321.0700	  2304.8500	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
  352.4700	    35.5300	     0.9811	  1072.5031	    -2.3717	  1070.1314	  2177.1800	  2177.1800	  2170.7100	     0.0000	     0.0000	     0.0000	     0.0000	              radiative cooling	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
